FFHQ Images MANIQA: 0.2208822958637029 | NIQE: 11.078684298867126
FFHQ Images MANIQA: 0.20665899477899075 | NIQE: 10.459690868386842
FFHQ Images MANIQA: 0.2130185686983168 | NIQE: 10.217161886216044
FFHQ Images MANIQA: 0.19514122884720564 | NIQE: 13.610890938324879
FFHQ Images MANIQA: 0.1962113743647933 | NIQE: 11.969989335794942
FFHQ Images MANIQA: 0.1912689134478569 | NIQE: 11.273256096190378
FFHQ Images MANIQA: 0.19557593436911702 | NIQE: 10.174334750347581
FFHQ Images MANIQA: 0.19749419437721372 | NIQE: 8.41349061917718
FFHQ Images MANIQA: 0.2149702962487936 | NIQE: 8.619052421695102
FFHQ Images MANIQA: 0.19074881868436933 | NIQE: 16.021214063352918
FFHQ Images MANIQA: 0.2218081634491682 | NIQE: 13.592548198552176
FFHQ Images MANIQA: 0.2021300671622157 | NIQE: 13.577178840975437
FFHQ Images MANIQA: 0.21267286222428083 | NIQE: 10.959029612032896
FFHQ Images MANIQA: 0.14770387765020132 | NIQE: 16.298121188487613
FFHQ Images MANIQA: 0.19839674094691873 | NIQE: 14.397561727070213
FFHQ Images MANIQA: 0.18463158560916781 | NIQE: 13.191375612300055
FFHQ Images MANIQA: 0.2357440204359591 | NIQE: 9.108217424182888
FFHQ Images MANIQA: 0.2176263858564198 | NIQE: 8.222029627312237
FFHQ Images MANIQA: 0.20566833391785622 | NIQE: 8.014809851719837
FFHQ Images MANIQA: 0.1892784615047276 | NIQE: 9.494396238566793
FFHQ Images MANIQA: 0.22511334484443069 | NIQE: 9.435377120142192
