FFHQ Images MANIQA: 0.3830960914492607 | NIQE: 40.911135999385436
FFHQ Images MANIQA: 0.18338063452392817 | NIQE: 15.877680193040556
FFHQ Images MANIQA: 0.13737071678042412 | NIQE: 14.419159982298174
FFHQ Images MANIQA: 0.12671146006323397 | NIQE: 97.91431388246897
FFHQ Images MANIQA: 0.08640462218318135 | NIQE: 122.87945910887964
FFHQ Images MANIQA: 0.11710048583336174 | NIQE: 11.86068922198876
FFHQ Images MANIQA: 0.09800547733902931 | NIQE: 13.112103477119417
FFHQ Images MANIQA: 0.11161335185170174 | NIQE: 10.919727383752791
FFHQ Images MANIQA: 0.14090947015210986 | NIQE: 12.440538334487016
FFHQ Images MANIQA: 0.13236052147112787 | NIQE: 12.14289913561792
FFHQ Images MANIQA: 0.1987561727873981 | NIQE: 9.63718795533833
FFHQ Images MANIQA: 0.21005973499268293 | NIQE: 8.30945427826139
FFHQ Images MANIQA: 0.20660817436873913 | NIQE: 7.779681949037086
FFHQ Images MANIQA: 0.17559739295393229 | NIQE: 7.881626222094235
FFHQ Images MANIQA: 0.18970965594053268 | NIQE: 8.155845937812703
FFHQ Images MANIQA: 0.16983843129128218 | NIQE: 7.202478699753217
FFHQ Images MANIQA: 0.17963496735319495 | NIQE: 8.080678973843247
FFHQ Images MANIQA: 0.18680641427636147 | NIQE: 7.034196230566608
FFHQ Images MANIQA: 0.15487454505637288 | NIQE: 7.8000932039929465
FFHQ Images MANIQA: 0.19112169183790684 | NIQE: 7.265015769177709
FFHQ Images MANIQA: 0.21840821113437414 | NIQE: 7.988872191500096
