FFHQ Images MANIQA: 0.22453808691352606 | NIQE: 7.2715041207634705
FFHQ Images MANIQA: 0.27651356160640717 | NIQE: 5.637010265822908
FFHQ Images MANIQA: 0.2732131090015173 | NIQE: 5.344341276098205
FFHQ Images MANIQA: 0.25981058459728956 | NIQE: 5.473529344489891
FFHQ Images MANIQA: 0.29177352879196405 | NIQE: 4.87316807108091
FFHQ Images MANIQA: 0.2753195986151695 | NIQE: 5.046013517336173
FFHQ Images MANIQA: 0.2945345528423786 | NIQE: 5.88064907449773
FFHQ Images MANIQA: 0.2668826226145029 | NIQE: 5.649133615074184
FFHQ Images MANIQA: 0.25611012522131205 | NIQE: 5.965033475186136
FFHQ Images MANIQA: 0.2923832619562745 | NIQE: 5.227531324954658
FFHQ Images MANIQA: 0.3251425735652447 | NIQE: 5.7495995483938565
FFHQ Images MANIQA: 0.3053418677300215 | NIQE: 6.801693088813973
FFHQ Images MANIQA: 0.31279824674129486 | NIQE: 5.513463868935514
FFHQ Images MANIQA: 0.3119459245353937 | NIQE: 5.5728542804530985
FFHQ Images MANIQA: 0.3077694419771433 | NIQE: 5.567358159071769
FFHQ Images MANIQA: 0.33539606630802155 | NIQE: 5.388557641121975
FFHQ Images MANIQA: 0.3088881177827716 | NIQE: 5.2104126102509625
FFHQ Images MANIQA: 0.31769777461886406 | NIQE: 5.383517083141438
FFHQ Images MANIQA: 0.30294264294207096 | NIQE: 6.08335525427471
FFHQ Images MANIQA: 0.31625839322805405 | NIQE: 5.697879071306818
FFHQ Images MANIQA: 0.3179478980600834 | NIQE: 5.893892496067723
