FFHQ Images MANIQA: 0.38642966374754906 | NIQE: 167.069927560429
FFHQ Images MANIQA: 0.2552301064133644 | NIQE: 6.452728721878143
FFHQ Images MANIQA: 0.29453028179705143 | NIQE: 5.587177425323496
FFHQ Images MANIQA: 0.28441242408007383 | NIQE: 5.619016060966561
FFHQ Images MANIQA: 0.291059959679842 | NIQE: 7.549061132465328
FFHQ Images MANIQA: 0.2920733457431197 | NIQE: 5.772859270851079
FFHQ Images MANIQA: 0.3183377729728818 | NIQE: 5.794804784175966
FFHQ Images MANIQA: 0.28580285608768463 | NIQE: 5.554604177321741
FFHQ Images MANIQA: 0.2683168491348624 | NIQE: 6.011459154732265
FFHQ Images MANIQA: 0.30932543613016605 | NIQE: 5.418269852319568
FFHQ Images MANIQA: 0.3385312631726265 | NIQE: 5.880187445035041
FFHQ Images MANIQA: 0.3259703181684017 | NIQE: 7.04157743250442
FFHQ Images MANIQA: 0.32931407541036606 | NIQE: 5.582128807518996
