FFHQ Images MANIQA: 0.1869541248306632 | NIQE: 5.484512469133599
FFHQ Images MANIQA: 0.2866773009300232 | NIQE: 5.479068893865308
FFHQ Images MANIQA: 0.2936438322067261 | NIQE: 5.519782681968193
FFHQ Images MANIQA: 0.2656158981844783 | NIQE: 5.14561080399008
FFHQ Images MANIQA: 0.2861283114179969 | NIQE: 5.117369013099768
FFHQ Images MANIQA: 0.2724630432203412 | NIQE: 4.887667231848362
FFHQ Images MANIQA: 0.2961322292685509 | NIQE: 5.214450879505191
FFHQ Images MANIQA: 0.26549366768449545 | NIQE: 5.449381493079524
FFHQ Images MANIQA: 0.23792074620723724 | NIQE: 5.32698248607947
FFHQ Images MANIQA: 0.2923840144649148 | NIQE: 4.949023510064883
FFHQ Images MANIQA: 0.3018091870471835 | NIQE: 5.381636610445729
FFHQ Images MANIQA: 0.28903414122760296 | NIQE: 6.1757317437367565
FFHQ Images MANIQA: 0.313234293833375 | NIQE: 5.46661508196015
FFHQ Images MANIQA: 0.295331122353673 | NIQE: 5.401269252549805
FFHQ Images MANIQA: 0.2904921304434538 | NIQE: 5.271113582890771
FFHQ Images MANIQA: 0.32588306814432144 | NIQE: 4.95132287734727
FFHQ Images MANIQA: 0.29685836751013994 | NIQE: 4.852187042304071
FFHQ Images MANIQA: 0.29717415757477283 | NIQE: 4.959385426288577
FFHQ Images MANIQA: 0.28783397376537323 | NIQE: 5.4102453006917255
FFHQ Images MANIQA: 0.3140608770772815 | NIQE: 5.227255391499236
FFHQ Images MANIQA: 0.3007697770372033 | NIQE: 5.2281925753761564
