FFHQ Images MANIQA: 0.22688055969774723 | NIQE: 35.72307851085794
FFHQ Images MANIQA: 0.10842380090616643 | NIQE: 6.305852356760308
FFHQ Images MANIQA: 0.15465697413310409 | NIQE: 4.538224598857477
FFHQ Images MANIQA: 0.09706197748892009 | NIQE: 4.775102072268931
FFHQ Images MANIQA: 0.10272048995830119 | NIQE: 5.828232565231352
FFHQ Images MANIQA: 0.12141952104866505 | NIQE: 4.34180092777714
FFHQ Images MANIQA: 0.12517564557492733 | NIQE: 4.346098602129247
FFHQ Images MANIQA: 0.11766288755461574 | NIQE: 4.930923035966113
FFHQ Images MANIQA: 0.11698814434930682 | NIQE: 4.519883937299297
FFHQ Images MANIQA: 0.1285834782756865 | NIQE: 4.408510740504055
FFHQ Images MANIQA: 0.16905593872070312 | NIQE: 4.141951628162789
FFHQ Images MANIQA: 0.16428734455257654 | NIQE: 4.498840510196729
