FFHQ Images MANIQA: 0.4145020805299282 | NIQE: 1076.1678531406976
FFHQ Images MANIQA: 0.1058071474544704 | NIQE: 7.5249909261597665
FFHQ Images MANIQA: 0.13860678393393755 | NIQE: 5.936369372755193
FFHQ Images MANIQA: 0.20754060428589582 | NIQE: 8.646817542085378
FFHQ Images MANIQA: 0.18761349562555552 | NIQE: 5.299402715425454
FFHQ Images MANIQA: 0.1478052856400609 | NIQE: 4.5092281086313015
FFHQ Images MANIQA: 0.16636891616508365 | NIQE: 4.352352195746772
FFHQ Images MANIQA: 0.1609486904926598 | NIQE: 4.6189183239710125
FFHQ Images MANIQA: 0.14522282127290964 | NIQE: 4.731025643838111
FFHQ Images MANIQA: 0.14406419079750776 | NIQE: 4.958784815431429
FFHQ Images MANIQA: 0.1711075222119689 | NIQE: 4.2672393871989565
FFHQ Images MANIQA: 0.16433925181627274 | NIQE: 4.57841375928392
FFHQ Images MANIQA: 0.18059442285448313 | NIQE: 4.434981544551648
FFHQ Images MANIQA: 0.1581892534159124 | NIQE: 4.706668053307405
